Date,egg_price,egg_production,egg_shipment,egg_recipt,chick_count,farmer_price,wholesale_price,retail_price,household_consumption_per_man,egg_import,chick_feed_shipment,chicken_feed_shipment,feed_price
2012/2,185,200345,194463,8267,7948,179,185,318,855,8569,58,466,60
2012/3,178,215571,209310,8480,8554,169,178,319,864,11140,64,505,60
2012/4,182,207569,201189,7865,8450,173,182,316,869,8642,58,455,61
2012/5,168,214952,208279,9151,8404,165,168,318,853,10438,62,478,61
2012/6,161,207042,200782,8149,8181,160,161,307,820,10317,60,452,61
2012/7,160,206334,199849,8652,8191,159,160,310,835,10240,55,429,63
2012/8,157,204292,198247,8729,7238,157,157,306,791,11300,56,432,63
2012/9,176,201232,195190,7645,7716,171,176,316,815,13179,54,426,63
2012/10,193,213696,207062,8967,8215,185,193,322,831,13255,56,458,67
2012/11,209,209729,203414,8355,7991,197,209,330,840,11819,58,469,67
2012/12,230,220195,213940,7393,7762,221,230,354,866,9053,66,508,67
2013/1,171,207468,201494,8450,7728,165,171,336,785,8470,58,455,66
2013/2,190,194838,189244,7705,7796,192,190,324,779,8361,54,443,67
2013/3,175,214742,208391,8065,7976,181,175,322,829,8092,61,486,67
2013/4,172,211739,205484,8625,8272,173,172,318,819,11715,58,463,71
2013/5,164,216920,210546,8623,8289,168,164,315,865,9722,60,476,71
2013/6,155,206989,201031,7814,8302,161,155,307,826,8013,55,433,71
2013/7,157,209667,203522,8915,7592,160,157,304,804,9474,56,432,73
2013/8,175,207530,201670,8326,7123,174,175,315,782,11113,54,426,73
2013/9,211,206311,200256,8088,8368,211,211,337,770,8720,52,431,73
2013/10,220,214544,208308,8701,7734,221,220,344,849,10706,56,464,70
2013/11,260,210695,204626,8009,8240,253,260,355,832,10275,56,464,70
2013/12,280,220531,214515,7720,8103,271,280,383,855,10011,64,505,70
2014/1,224,206422,200515,8716,8318,215,224,367,793,11997,58,463,70
2014/2,240,195067,189278,7695,8424,230,240,373,804,11094,55,443,70
2014/3,230,213033,206473,8285,8634,224,230,366,821,11307,61,493,70
2014/4,223,206889,200493,8388,8767,217,223,375,784,10835,57,463,72
2014/5,204,214915,208244,7854,8849,200,204,355,856,11809,61,475,72
2014/6,199,203948,197576,8045,8838,197,199,351,850,10331,57,447,72
2014/7,190,210181,203914,8462,8866,190,190,345,809,11602,57,451,73
2014/8,192,205653,199568,7681,7280,187,192,345,801,11124,53,426,73
2014/9,231,206299,200173,8068,8831,230,231,355,826,10230,55,451,73
2014/10,240,212941,207005,7932,8497,233,240,381,819,12634,58,488,71
2014/11,242,206579,200709,7266,8136,233,242,376,843,9259,54,454,71
2014/12,248,219994,214060,7153,8803,245,248,378,880,10304,68,533,71
2015/1,192,205626,,9306,8506,194,192,361,765,10457,59,462,73
2015/2,209,194117,,7573,8273,205,209,357,819,10521,55,449,73
2015/3,219,214042,,8407,9263,216,219,360,851,9609,60,480,74
2015/4,227,209584,,7997,8411,222,227,363,838,10865,61,479,73
2015/5,230,213873,,7461,8989,230,230,367,856,8626,57,450,73
2015/6,223,208916,,8541,9084,222,223,367,803,10709,58,454,73
2015/7,213,212343,,8507,8831,214,213,364,818,10013,59,461,71
2015/8,219,207932,,8188,7502,214,219,367,805,9976,54,427,71
2015/9,247,207767,,7909,8444,243,247,384,802,8481,56,455,71
2015/10,250,215345,,8310,8862,250,250,393,852,12617,59,476,72
2015/11,252,210303,,8271,8518,250,252,393,842,8537,56,461,72
2015/12,255,221025,,7102,9070,256,255,393,850,10700,65,518,72
2016/1,182,210305,,8943,8317,185,182,360,833,9242,57,448,71
2016/2,209,205473,,8386,8604,213,209,364,845,7794,58,470,71
2016/3,215,220774,,8598,9238,219,215,367,865,6306,62,494,71
2016/4,215,212333,,7916,8779,220,215,366,890,6471,61,486,68
2016/5,204,217636,,8644,9398,209,204,367,889,4957,58,464,68
2016/6,197,210506,,8404,9228,202,197,358,867,6557,57,463,68
2016/7,184,211883,,8007,8532,194,184,352,864,5404,54,438,70
2016/8,180,212234,,8704,8471,188,180,346,811,8324,56,454,70
2016/9,192,209438,,8147,9184,199,192,352,847,9686,54,446,70
2016/10,211,214751,,8137,9140,216,211,363,908,9602,57,464,68
2016/11,231,213450,,8120,8837,235,231,367,875,8017,58,478,68
2016/12,245,223460,,7176,9213,247,245,381,909,9105,67,524,68
2017/1,179,212961,,8916,9276,182,179,357,850,7486,59,457,69
2017/2,204,197572,,7687,8277,207,204,361,814,8915,56,451,70
2017/3,217,221456,,8667,9748,221,217,366,877,10309,65,513,70
2017/4,227,213528,,7751,9112,228,227,370,907,9283,59,467,70
2017/5,216,222671,,8403,9029,227,216,376,890,10035,62,497,70
2017/6,197,215276,,8340,9759,204,197,364,843,8432,60,474,70
2017/7,191,216095,,8233,8889,203,191,361,866,8629,56,455,70
2017/8,182,218078,,8527,8339,190,182,355,849,8767,58,466,69
2017/9,194,214868,,7921,9014,204,194,361,858,8233,57,464,69
2017/10,211,222223,,8549,9225,222,211,369,910,9632,59,487,69
2017/11,228,218370,,8301,9519,232,228,376,899,11160,59,494,69
2017/12,234,228075,,7542,9081,239,234,376,936,10812,67,536,69
2018/1,159,218302,,9294,9387,171,159,351,889,10603,60,477,70
2018/2,189,201406,,7788,9034,199,189,348,862,8838,58,461,70
2018/3,201,225607,,8402,9940,209,201,352,896,9660,65,522,70
2018/4,179,217868,,7828,9503,190,179,346,885,11273,60,477,72
2018/5,165,226195,,9059,10035,179,165,343,965,11906,63,503,71
2018/6,165,218285,,7802,9267,179,165,343,908,8106,62,482,72
2018/7,173,216275,,8651,9947,189,173,343,844,9390,57,446,74
2018/8,172,216634,,8593,8723,191,172,346,853,10894,59,468,74
2018/9,184,214809,,7412,8897,202,184,345,882,7856,55,451,74
2018/10,194,223349,,8642,9972,211,194,334,913,8683,70,508,73
2018/11,195,220322,,7951,9690,211,195,336,901,8303,69,502,73
2018/12,188,228712,,6933,8709,194,188,337,1185,8411,66,533,73
2019/1,121,221199,,8578,9706,128,121,337,881,7034,61,490,73
2019/2,152,202628,,7186,8293,158,152,330,827,12976,55,464,73
2019/3,169,224172,,7544,8996,176,169,328,914,8866,59,494,73
2019/4,174,221123,,7301,9227,178,174,334,900,9304,60,503,73
2019/5,173,225246,,8076,9363,189,173,335,901,11011,59,498,73
2019/6,151,217310,,7306,8292,167,151,334,919,7322,54,457,73
2019/7,150,223080,,8746,9843,164,150,333,892,11813,56,491,72
2019/8,150,218159,,8417,7964,165,150,330,870,9397,53,456,72
2019/9,179,213737,,7797,8956,194,179,330,866,6794,51,449,72
2019/10,204,224939,,8364,8966,208,204,331,928,10031,56,496,72
2019/11,219,219848,,7811,9593,222,219,333,880,9573,56,489,72
2019/12,227,228292,,7602,8868,229,227,331,917,10480,63,526,72
2020/1,170,219048,,8453,10152,178,170,330,827,9536,58,482,73
2020/2,185,211544,,7388,8509,195,185,331,926,10086,56,473,73
2020/3,197,227549,,8465,10112,202,197,331,1014,7958,59,499,73
2020/4,202,222000,,8087,9292,215,202,331,1036,8975,60,501,73
2020/5,168,225045,,7170,9606,180,168,336,1031,7168,58,472,73
2020/6,160,217140,,8374,9353,173,160,336,936,11198,56,470,73
2020/7,153,222294,,8072,9863,170,153,333,966,9509,58,484,72
2020/8,145,214929,,7994,8298,163,145,331,931,9093,53,444,72
2020/9,153,213619,,7757,8025,171,153,336,908,7619,54,456,72
2020/10,164,222283,,8021,8978,184,164,334,983,8286,56,489,73
2020/11,171,214066,,7958,8950,188,171,336,949,7341,52,472,73
2020/12,178,223365,,6797,8602,198,178,331,1007,8813,60,529,73
2021/1,142,213670,,8238,8518,160,142,327,951,7965,52,450,77
2021/2,183,195225,,7307,8892,201,183,333,920,7448,50,440,77
